id,name,cb_cluster,player_role
206725,Pere Milla,3,Goal-scoring winger
213954,J. Grealish,0,Dribbler winger
214369,Sandro Ramírez,3,Goal-scoring winger
214882,Rony Lopes,1,Low-impact winger
217913,Suso,0,Dribbler winger
218727,Z. Ferhat,3,Goal-scoring winger
219030,S. Becker,1,Low-impact winger
233320,Murilo,1,Low-impact winger
245430,V. Lazaro,1,Low-impact winger
249503,F. Sotoca,1,Low-impact winger
254873,V. Grifo,3,Goal-scoring winger
256156,J. McGinn,1,Low-impact winger
260118,Rubén García,2,Defensive winger
260734,Adama Traoré,0,Dribbler winger
264176,A. Iwobi,3,Goal-scoring winger
265385,K. Coman,0,Dribbler winger
271269,F. Honorat,3,Goal-scoring winger
277682,Iñaki Williams,1,Low-impact winger
278537,L. Sané,3,Goal-scoring winger
279610,Jason,1,Low-impact winger
279720,M. Zaccagni,2,Defensive winger
280626,N. Pépé,3,Goal-scoring winger
280882,J. Dompé,3,Goal-scoring winger
281093,W. Burns,2,Defensive winger
282853,Álvaro García,1,Low-impact winger
283021,João Graça,2,Defensive winger
286104,T. Asano,1,Low-impact winger
286684,Á. Correa,3,Goal-scoring winger
289009,João Camacho,2,Defensive winger
290176,Rúben Macedo,1,Low-impact winger
290180,A. Golovin,2,Defensive winger
290324,V. Tsygankov,1,Low-impact winger
298167,M. Simon,3,Goal-scoring winger
309946,Adri Embarba,2,Defensive winger
309994,Luis Rioja,0,Dribbler winger
310176,Gabrielzinho,1,Low-impact winger
314072,Rochinha,1,Low-impact winger
316312,H. Wilson,1,Low-impact winger
316437,Carles Aleñà,1,Low-impact winger
324923,D. Lukébakio,3,Goal-scoring winger
328270,R. Del Castillo,3,Goal-scoring winger
330525,G. Perrin,3,Goal-scoring winger
331759,A. Onaiwu,1,Low-impact winger
335238,João Carvalho,1,Low-impact winger
340837,Mama Baldé,1,Low-impact winger
347529,A. Tuhami,2,Defensive winger
350117,M. Honsak,1,Low-impact winger
356063,M. Bülter,3,Goal-scoring winger
356451,Gil Dias,2,Defensive winger
356457,Joca,1,Low-impact winger
362651,Kike Barja,0,Dribbler winger
362653,Álex Berenguer,2,Defensive winger
372537,Tete Morente,2,Defensive winger
372907,S. Mavididi,2,Defensive winger
373465,J. Ikoné,1,Low-impact winger
374839,Bruno Lourenço,1,Low-impact winger
376315,D. Brooks,2,Defensive winger
379837,J. Bruun Larsen,1,Low-impact winger
386237,N. Broadhead,2,Defensive winger
387319,Óscar Rodríguez,1,Low-impact winger
387433,Y. Karamoh,1,Low-impact winger
392263,J. Ito,0,Dribbler winger
395671,Galeno,3,Goal-scoring winger
396704,R. Doan,2,Defensive winger
398248,Pepê,1,Low-impact winger
401959,R. Orsolini,3,Goal-scoring winger
402947,A. Claude-Maurice,1,Low-impact winger
404953,R. Hack,1,Low-impact winger
407819,J. Rodríguez,0,Dribbler winger
417578,D. Man,1,Low-impact winger
418673,J. Allevinah,1,Low-impact winger
420786,J. Bellegarde,2,Defensive winger
421589,Rafael Leão,3,Goal-scoring winger
423982,M. Tavernier,2,Defensive winger
424964,E. Elmas,1,Low-impact winger
425071,M. Sylla,1,Low-impact winger
425644,S. Chukwueze,3,Goal-scoring winger
426114,Nuno Santos,1,Low-impact winger
426785,Brahim Diaz,1,Low-impact winger
429161,J. Karlsson,1,Low-impact winger
429714,Raphinha,3,Goal-scoring winger
433194,David Neres,0,Dribbler winger
436584,C. Gakpo,3,Goal-scoring winger
437501,J. Harrison,2,Defensive winger
438595,F. El Melali,2,Defensive winger
439913,Z. Davitashvili,1,Low-impact winger
446903,A. Laurienté,3,Goal-scoring winger
449042,Gabriel Strefezza,2,Defensive winger
450709,N. González,2,Defensive winger
451197,Benny,2,Defensive winger
452382,Heriberto Tavares,2,Defensive winger
453120,J. Sancho,3,Goal-scoring winger
453254,C. Gallagher,2,Defensive winger
453991,I. Sarr,1,Low-impact winger
454039,C. Führich,0,Dribbler winger
454355,Elves Baldé,1,Low-impact winger
454522,H. Barnes,3,Goal-scoring winger
455314,C. Hudson-Odoi,3,Goal-scoring winger
455627,Jorge de Frutos,1,Low-impact winger
455679,Jovane Cabral,2,Defensive winger
455683,Javi Puado,1,Low-impact winger
457466,B. Mbeumo,3,Goal-scoring winger
458617,I. Kebbal,3,Goal-scoring winger
459219,J. Ramsey,1,Low-impact winger
460206,Nuno Moreira,1,Low-impact winger
460259,Rodrigo Riquelme,0,Dribbler winger
460308,N. Okafor,1,Low-impact winger
460672,Sergio Gómez,2,Defensive winger
461886,G. Tsitaishvili,3,Goal-scoring winger
462387,K. Aktürkoğlu,3,Goal-scoring winger
462617,L. Jabá,0,Dribbler winger
462673,G. Isaksen,0,Dribbler winger
463008,M. Bakker,3,Goal-scoring winger
463016,J. Ekkelenkamp,1,Low-impact winger
463156,K. Kvaratskhelia,3,Goal-scoring winger
464314,Iván Jaime,1,Low-impact winger
465503,A. Gordon,0,Dribbler winger
468962,Alfon González,3,Goal-scoring winger
469017,Álex Bermejo,1,Low-impact winger
471115,E. Eze,3,Goal-scoring winger
474259,O. Afolayan,0,Dribbler winger
474972,Vinícius Júnior,0,Dribbler winger
476784,Samuel Lino,2,Defensive winger
477117,A. Tosin,1,Low-impact winger
477369,C. Ejuke,0,Dribbler winger
477582,Pedro Neto,3,Goal-scoring winger
477618,A. Zaroury,0,Dribbler winger
478614,P. Almqvist,2,Defensive winger
478693,Madson,2,Defensive winger
479397,K. Nakamura,1,Low-impact winger
482505,T. Kubo,0,Dribbler winger
489377,Paulinho Bóia,1,Low-impact winger
490969,A. Skov Olsen,3,Goal-scoring winger
491026,Matheus Cunha,3,Goal-scoring winger
495017,H. Traoré,1,Low-impact winger
497909,Pedro Gonçalves,3,Goal-scoring winger
498242,R. Sottil,0,Dribbler winger
498335,Manu Fuster,2,Defensive winger
501819,M. Greenwood,3,Goal-scoring winger
503174,Y. Gboho,2,Defensive winger
504036,S. Nanasi,1,Low-impact winger
506400,Bryan Gil,0,Dribbler winger
507525,K. Mitoma,1,Low-impact winger
508656,D. Bakwa,3,Goal-scoring winger
508937,C. Summerville,2,Defensive winger
509315,Gonçalo Borges,0,Dribbler winger
509344,N. Madueke,0,Dribbler winger
509535,Félix Correia,3,Goal-scoring winger
509578,Cedric Teguia,2,Defensive winger
510378,Carlos Vicente,2,Defensive winger
513954,M. Kudus,0,Dribbler winger
515370,Miguel Puche,2,Defensive winger
515473,N. Thomas,1,Low-impact winger
516610,V. Mihăilă,1,Low-impact winger
517637,Álex Baena,3,Goal-scoring winger
517888,Y. Musah,1,Low-impact winger
519188,Y. Vertessen,3,Goal-scoring winger
519639,Roger Brugué,1,Low-impact winger
520774,Rodrygo,0,Dribbler winger
521556,L. Banda,2,Defensive winger
