id,name,cb_cluster,player_role
163887,L. Paredes,2,Deep-lying playmaking midfielder
167545,Neto,1,Box-to-box midfielder
169273,Jorginho,1,Box-to-box midfielder
175803,S. Pérez,1,Box-to-box midfielder
179905,L. Bittencourt,2,Deep-lying playmaking midfielder
180889,Hernani,1,Box-to-box midfielder
180957,R. Tapia,1,Box-to-box midfielder
182609,P. Højbjerg,2,Deep-lying playmaking midfielder
187142,J. Veretout,3,Scoring midfielder
187228,Moi Gómez,2,Deep-lying playmaking midfielder
193378,J. Aholou,0,Ball-winning midfielder
193531,R. Khedira,0,Ball-winning midfielder
194347,Dener,1,Box-to-box midfielder
199419,J. Akpa Akpro,0,Ball-winning midfielder
200872,J. Ward-Prowse,3,Scoring midfielder
200890,Iñigo Ruiz de Galarreta,1,Box-to-box midfielder
208118,Omar Mascarell,1,Box-to-box midfielder
211214,J. Irvine,0,Ball-winning midfielder
212612,Lucas Torró,0,Ball-winning midfielder
212932,A. Oudrhiri,1,Box-to-box midfielder
213124,F. Grillitsch,0,Ball-winning midfielder
213128,A. Grassi,0,Ball-winning midfielder
213130,B. Cristante,2,Deep-lying playmaking midfielder
213587,M. Bero,3,Scoring midfielder
213637,L. Goretzka,2,Deep-lying playmaking midfielder
213909,K. Linetty,0,Ball-winning midfielder
215348,L. Dendoncker,0,Ball-winning midfielder
215485,M. Pašalić,2,Deep-lying playmaking midfielder
215640,S. Fofana,3,Scoring midfielder
216855,W. Hughes,1,Box-to-box midfielder
217198,João Mário,2,Deep-lying playmaking midfielder
217628,L. Abergel,2,Deep-lying playmaking midfielder
227680,J. Haberer,0,Ball-winning midfielder
228893,J. Karlström,1,Box-to-box midfielder
229032,Mattheus Oliveira,1,Box-to-box midfielder
232390,N. Bentaleb,2,Deep-lying playmaking midfielder
232822,S. Lobotka,1,Box-to-box midfielder
242372,A. Thomasson,3,Scoring midfielder
242484,M. Sanson,3,Scoring midfielder
244379,João Novais,3,Scoring midfielder
245105,F. Tardieu,2,Deep-lying playmaking midfielder
245897,André Gomes,1,Box-to-box midfielder
248027,Luis Milla,1,Box-to-box midfielder
248912,R. De Paul,2,Deep-lying playmaking midfielder
250434,T. Partey,1,Box-to-box midfielder
250672,O. Duda,1,Box-to-box midfielder
250812,A. Touré,3,Scoring midfielder
255510,Tiago Silva,2,Deep-lying playmaking midfielder
258603,H. Belkebla,0,Ball-winning midfielder
259394,R. Andrich,1,Box-to-box midfielder
259488,J. Weigl,1,Box-to-box midfielder
260016,J. Kimmich,2,Deep-lying playmaking midfielder
260571,Y. Gerhardt,1,Box-to-box midfielder
263167,Unai López,1,Box-to-box midfielder
265494,L. Henderson,3,Scoring midfielder
268856,S. Lukić,0,Ball-winning midfielder
270586,R. Marin,3,Scoring midfielder
271290,R. Loftus-Cheek,3,Scoring midfielder
272846,M. Dominguez,0,Ball-winning midfielder
274470,H. Winks,1,Box-to-box midfielder
274936,Pedro Chirivella,2,Deep-lying playmaking midfielder
274941,Aleix Febas,3,Scoring midfielder
275443,R. Gagliardini,1,Box-to-box midfielder
276371,Bruno Fernandes,2,Deep-lying playmaking midfielder
279222,Joan Jordán,3,Scoring midfielder
280199,E. Skhiri,1,Box-to-box midfielder
283102,Fabrício Isidoro,0,Ball-winning midfielder
285652,João Palhinha,0,Ball-winning midfielder
288085,Arthur,1,Box-to-box midfielder
288830,J. Lerma,1,Box-to-box midfielder
288832,D. Cataldi,1,Box-to-box midfielder
289778,J. Vandeputte,2,Deep-lying playmaking midfielder
291498,R. Christie,1,Box-to-box midfielder
292940,V. Rongier,1,Box-to-box midfielder
293116,A. Karazor,1,Box-to-box midfielder
295463,Gerard Gumbau,0,Ball-winning midfielder
296416,N. Amiri,2,Deep-lying playmaking midfielder
297043,A. Deiola,0,Ball-winning midfielder
297294,Y. Tielemans,3,Scoring midfielder
298168,W. Ndidi,0,Ball-winning midfielder
298173,E. Fernandes,1,Box-to-box midfielder
298753,Bernardo Silva,3,Scoring midfielder
306990,Xeka,1,Box-to-box midfielder
307342,M. Eggestein,1,Box-to-box midfielder
308477,B. Santamaria,1,Box-to-box midfielder
312701,P. Lees-Melou,1,Box-to-box midfielder
313564,M. Arambarri,0,Ball-winning midfielder
314574,M. López,2,Deep-lying playmaking midfielder
316336,G. Kastanos,0,Ball-winning midfielder
316531,Aleix García,2,Deep-lying playmaking midfielder
316548,D. Sow,0,Ball-winning midfielder
317810,J. Maddison,3,Scoring midfielder
318336,Guga,3,Scoring midfielder
319054,S. Amrabat,1,Box-to-box midfielder
319365,T. Souček,3,Scoring midfielder
319524,Mikel Vesga,1,Box-to-box midfielder
319838,N. Barella,2,Deep-lying playmaking midfielder
319840,M. Locatelli,2,Deep-lying playmaking midfielder
327006,Ali Al Musrati,3,Scoring midfielder
327388,T. Ndombèlé,0,Ball-winning midfielder
327615,Aloísio,0,Ball-winning midfielder
329416,Y. Ramadani,1,Box-to-box midfielder
331264,Joelinton,0,Ball-winning midfielder
