id,name,cb_cluster,player_role
463682,M. Hermansen,0,Low-performing GK
467654,M. Carnesecchi,1,Ball-playing GK
469639,Dani Figueira,3,Overrated ball-playing GK
474734,F. Israel,3,Overrated ball-playing GK
488163,V. Kovačević,3,Overrated ball-playing GK
491109,N. Mantl,3,Overrated ball-playing GK
494523,L. Philipp,0,Low-performing GK
495012,S. Turati,0,Low-performing GK
502022,Z. Suzuki,1,Ball-playing GK
505318,C. Mandas,1,Ball-playing GK
506249,A. Trubin,1,Ball-playing GK
509149,J. Stolarczyk,1,Ball-playing GK
509793,C. Miszta,1,Ball-playing GK
515401,Leo Román,1,Ball-playing GK
517642,K. Hein,3,Overrated ball-playing GK
