id,name,cb_cluster,player_role
403084,F. Sierralta,2,Aerial dominant CB
405509,J. Aidoo,3,Low-impact CB
405620,N. Aguerd,1,Ball-playing CB
408386,C. Zesiger,0,Ball-stealing CB
409662,Unai Elgezabal,2,Aerial dominant CB
413868,M. Pongračić,3,Low-impact CB
414054,J. Chabot,1,Ball-playing CB
414278,L. Ritzka,0,Ball-stealing CB
414318,T. Becker,3,Low-impact CB
414367,M. Friedl,0,Ball-stealing CB
414515,M. Leitsch,0,Ball-stealing CB
416488,M. Sarr,3,Low-impact CB
416730,I. Konaté,1,Ball-playing CB
417127,Igor Zubeldía,2,Aerial dominant CB
419553,S. Nsoki,0,Ball-stealing CB
419697,Diogo Leite,0,Ball-stealing CB
420559,M. Guéhi,1,Ball-playing CB
420587,T. Borevković,3,Low-impact CB
420903,C. Kipré,0,Ball-stealing CB
421820,S. Bornauw,2,Aerial dominant CB
421860,D. O'Shea,0,Ball-stealing CB
423623,Pau Torres,3,Low-impact CB
423934,R. Nicolaisen,2,Aerial dominant CB
425510,Éder Militão,2,Aerial dominant CB
426425,L. Østigård,2,Aerial dominant CB
426558,A. Bastoni,1,Ball-playing CB
426564,M. Gabbia,3,Low-impact CB
427012,M. Kumbulla,2,Aerial dominant CB
429990,João Basso,1,Ball-playing CB
430072,R. Pantalon,2,Aerial dominant CB
430364,Zé Pedro,3,Low-impact CB
430883,E. Pinnock,0,Ball-stealing CB
431214,E. Konsa,3,Low-impact CB
431476,J. Le Cardinal,2,Aerial dominant CB
431909,J. Rodon,2,Aerial dominant CB
431967,K. Mavropanos,2,Aerial dominant CB
432117,M. Senesi,1,Ball-playing CB
433270,Igor Julio,3,Low-impact CB
433485,Gabriel Magalhaes,1,Ball-playing CB
433963,C. Romero,1,Ball-playing CB
434326,D. Doekhi,2,Aerial dominant CB
434424,Pedrão,0,Ball-stealing CB
438399,Sidney Lima,2,Aerial dominant CB
440868,P. Struijk,1,Ball-playing CB
440930,N. Milenković,3,Low-impact CB
441064,M. McKenzie,3,Low-impact CB
445212,A. Ismajli,0,Ball-stealing CB
446056,M. Svoboda,0,Ball-stealing CB
446838,B. Popović,3,Low-impact CB
447135,K. Kouyaté,0,Ball-stealing CB
448811,Kim Min-Jae,1,Ball-playing CB
451709,Riccieli,3,Low-impact CB
452435,V. Nelsson,2,Aerial dominant CB
453084,D. Ballard,2,Aerial dominant CB
453292,M. Jenz,2,Aerial dominant CB
453322,C. Bassey,1,Ball-playing CB
453656,G. Osho,3,Low-impact CB
453982,N. Schlotterbeck,1,Ball-playing CB
454564,A. Mumin,3,Low-impact CB
454728,E. Ndicka,1,Ball-playing CB
454847,J. Okumu,0,Ball-stealing CB
455312,J. Panzo,0,Ball-stealing CB
455612,Fernando Calero,0,Ball-stealing CB
456479,J. Foyth,0,Ball-stealing CB
456519,Alejandro Catena,2,Aerial dominant CB
459276,R. Araújo,1,Ball-playing CB
459517,I. Dramé,0,Ball-stealing CB
459983,Pedro Álvaro,2,Aerial dominant CB
460020,Javi Montero,1,Ball-playing CB
460188,Juan Berrocal,3,Low-impact CB
460632,T. Djaló,3,Low-impact CB
461178,Víctor Chust,1,Ball-playing CB
461179,Eric García,1,Ball-playing CB
463014,S. Botman,2,Aerial dominant CB
463446,T. Heggem,3,Low-impact CB
463698,L. Geertruida,3,Low-impact CB
464417,L. Krejčí,1,Ball-playing CB
465056,M. Nadé,0,Ball-stealing CB
465385,E. Mihaj,3,Low-impact CB
465846,N. Collins,0,Ball-stealing CB
466624,D. Zec,0,Ball-stealing CB
466684,A. Tchouaméni,2,Aerial dominant CB
467149,L. Cacace,3,Low-impact CB
468245,J. Kiwior,3,Low-impact CB
469493,F. Medina,1,Ball-playing CB
470002,N. Casale,0,Ball-stealing CB
470125,M. Bauer,2,Aerial dominant CB
470878,O. Solet,0,Ball-stealing CB
471131,L. Kelly,2,Aerial dominant CB
471667,Robson Bambu,1,Ball-playing CB
471671,L. Martínez,1,Ball-playing CB
473406,A. Dossena,0,Ball-stealing CB
473494,A. Buongiorno,1,Ball-playing CB
475230,J. Medić,0,Ball-stealing CB
475251,H. Ekdal,2,Aerial dominant CB
475327,Fali Candé,2,Aerial dominant CB
475349,Adrián de la Fuente,3,Low-impact CB
475796,N. Pérez,1,Ball-playing CB
476854,M. Frese,3,Low-impact CB
477041,M. Kilman,2,Aerial dominant CB
477592,J. de Haas,0,Ball-stealing CB
478644,M. Sagnan,2,Aerial dominant CB
479108,Y. Ndayishimiye,1,Ball-playing CB
479444,S. Niakaté,1,Ball-playing CB
480127,M. Talbi,3,Low-impact CB
480539,J. Todibo,3,Low-impact CB
