id,name,cb_cluster,player_role
426578,J. Kluivert,1,Goal-scoring attacking midfielder
427528,J. Moder,0,Box-to-box attacking midfielder
441348,L. Ilić,3,Low-impact attacking midfielder
448109,L. Majer,1,Goal-scoring attacking midfielder
452413,André Almeida,0,Box-to-box attacking midfielder
453097,F. Dele-Bashiru,3,Low-impact attacking midfielder
453125,E. Smith Rowe,3,Low-impact attacking midfielder
453305,K. Dewsbury-Hall,0,Box-to-box attacking midfielder
453896,A. Gomes,1,Goal-scoring attacking midfielder
454457,M. Gibbs-White,1,Goal-scoring attacking midfielder
459693,W. McKennie,0,Box-to-box attacking midfielder
459893,G. Gaetano,1,Goal-scoring attacking midfielder
459986,João Félix,3,Low-impact attacking midfielder
463719,D. Szoboszlai,0,Box-to-box attacking midfielder
467128,M. O'Riley,1,Goal-scoring attacking midfielder
469819,Daniel Penha,0,Box-to-box attacking midfielder
473391,M. Rogers,3,Low-impact attacking midfielder
475118,Alan,1,Goal-scoring attacking midfielder
479600,Edu Expósito,2,Offensive playmaker
481790,H. Abdelli,0,Box-to-box attacking midfielder
482751,Þ. Helgason,3,Low-impact attacking midfielder
495025,Junior Messias,0,Box-to-box attacking midfielder
497191,G. Reyna,0,Box-to-box attacking midfielder
517242,O. Pohlmann,3,Low-impact attacking midfielder
518958,Oihan Sancet,3,Low-impact attacking midfielder
